360.cn,125.88.190.56
hotmail.com,65.55.85.12
craigslist.org,208.82.237.129
weather.com,173.222.34.14
alibaba.com,205.204.101.42
megaupload.com,
renren.com,103.235.252.213
livedoor.jp,125.6.149.67
blogger.com,216.58.217.9
vkontakte.ru,95.213.4.229
answers.com,67.196.156.65
rapidshare.com,10.11.12.13
daum.net,114.108.157.50
soku.com,43.250.12.57
7k7k.com,115.182.59.33
photobucket.com,209.17.68.100
mediafire.com,205.196.120.13
ehow.com,23.227.11.12
seesaa.net,59.106.98.139
ifeng.com,210.51.19.63
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.246.78
2345.com,42.62.30.180
yandex.ru,77.88.55.70
myspace.com,63.135.90.70
mail.ru,94.100.180.201
cnet.com,64.30.228.118
4399.com,118.184.184.70
orkut.com,104.198.212.182
go.com,199.181.131.249
ameblo.jp,27.133.208.13
naver.com,125.209.222.142
skype.com,104.40.50.126
4shared.com,204.155.149.38
amazon.co.jp,54.240.250.0
flickr.com,69.147.76.173
dailymotion.com,195.8.215.136
imdb.com,207.171.166.22
linkedin.com,108.174.10.10
aol.com,149.174.110.102
paipai.com,163.177.83.173
alipay.com,110.76.19.33
softonic.com,46.28.209.20
nifty.com,222.158.213.148
imageshack.us,208.94.3.18
cnn.com,151.101.192.73
tianya.cn,124.225.65.154
mywebsearch.com,74.113.233.48
partypoker.com,88.81.155.145
hp.com,15.216.241.18
amazon.com,54.239.26.128
zynga.com,54.200.204.21
wordpress.com,192.0.78.17
facebook.com,157.240.2.35
kugou.com,14.18.236.182
tudou.com,123.126.98.151
youtube.com,216.58.217.14
ebay.de,66.135.201.153
yahoo.co.jp,182.22.59.229
walmart.com,161.170.244.20
youdao.com,61.135.218.26
sohu.com,220.181.90.20
live.com,65.55.206.154
hotfile.com,199.184.144.150
apple.com,17.178.96.59
wikipedia.org,208.80.153.224
qiyi.com,101.227.22.160
hao123.com,123.125.115.150
msn.com,23.101.196.141
pconline.com.cn,219.136.245.40
yahoo.com,206.190.36.45
baidu.com,111.13.101.208
windows.com,104.40.211.35
ebay.com,66.211.162.12
blogspot.com,216.58.217.9
jp.msn.com,23.101.196.141
pps.tv,58.83.190.154
microsoft.com,23.100.122.175
xunlei.com,119.188.108.240
qq.com,125.39.240.113
56.com,101.227.173.126
taobao.com,140.205.94.189
fc2.com,52.41.146.181
bing.com,204.79.197.200
paypal.com,64.4.250.23
sina.com.cn,202.108.33.60
odnoklassniki.ru,217.20.155.58
soso.com,106.120.151.169
tmall.com,140.205.130.99
163.com,123.58.180.8
ku6.com,122.11.45.243
ask.com,66.235.120.127
rakuten.co.jp,133.237.48.124
adobe.com,192.150.16.117
about.com,207.241.148.80
twitter.com,199.59.149.198
orkut.com.br,
mozilla.com,63.245.213.24
youku.com,220.181.185.141
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
sogou.com,118.191.216.42
